Lemma,ASA1_1,ASA1_2,ASA1_3,ASA1_4,Total
el,61,54,27,52,194
de,28,33,22,34,117
él,30,29,10,27,96
que,23,27,13,18,81
uno,11,24,6,25,66
a,11,15,7,23,56
en,19,12,8,7,46
y,5,19,6,9,39
ser,14,8,4,4,30
su,6,10,3,11,30
para,10,5,2,5,22
haber,2,11,1,8,22
no,9,2,3,6,20
por,6,7,3,1,17
estar,0,7,1,6,14
como,5,4,3,1,13
poder,4,2,2,4,12
más,3,5,1,2,11
con,3,4,1,3,11
este,2,2,5,0,9
ese,3,4,1,1,9
lugar,5,1,1,1,8
todo,1,4,1,2,8
porque,3,2,1,1,7
hasta,1,5,0,1,7
tener,4,0,0,2,6
cómo,2,1,2,1,6
vez,2,2,0,2,6
encontrar,2,2,1,1,6
deber,1,1,1,2,5
conseguir,2,1,0,2,5
cual,1,2,0,2,5
sin,2,2,0,1,5
sobre,0,2,1,2,5
vida,3,2,0,0,5
día,0,3,0,2,5
ahí,1,3,0,1,5
pero,0,3,1,1,5
convertir,3,1,0,1,5
tanto,1,3,1,0,5
sistema,4,0,1,0,5
ya,0,2,2,1,5
vivir,2,1,1,0,4
dentro,0,2,0,2,4
también,2,1,1,0,4
contar,0,3,0,1,4
mismo,1,1,0,2,4
incluso,2,2,0,0,4
cuando,0,2,0,2,4
qué,2,2,0,0,4
descubrir,0,2,0,2,4
aquel,0,3,0,1,4
además,1,2,0,1,4
parte,1,1,1,1,4
donde,0,3,0,1,4
conocer,0,2,1,1,4
persona,2,1,0,1,4
ir,1,2,0,1,4
cuyo,0,3,0,1,4
lado,0,0,2,2,4
dos,0,0,1,2,3
si,1,1,0,1,3
antes,1,0,0,2,3
durante,1,1,0,1,3
ni,0,2,0,1,3
cometer,2,0,0,1,3
cada,1,2,0,0,3
alcanzar,0,2,0,1,3
estado,2,0,1,0,3
fuera,2,0,0,1,3
sino,2,1,0,0,3
país,2,0,1,0,3
dar,1,1,1,0,3
trabajo,1,0,2,0,3
poner,0,2,0,1,3
distinto,1,1,1,0,3
saber,0,2,0,1,3
embargo,1,1,0,1,3
solo,0,1,2,0,3
hacer,0,1,0,2,3
final,0,1,1,1,3
ver,1,1,0,1,3
según,2,1,0,0,3
situación,1,1,1,0,3
otro,0,0,2,1,3
entre,0,0,1,2,3
alguno,2,0,0,1,3
volver,2,1,0,0,3
cuerpo,0,1,0,2,3
creer,0,2,0,1,3
mejor,1,0,1,1,3
lograr,0,1,0,2,3
ejemplo,2,0,1,0,3
buscar,0,1,0,2,3
pasado,0,1,1,1,3
crimen,1,0,0,2,3
delito,1,0,0,1,2
sitio,0,1,0,1,2
pensar,0,0,1,1,2
enorme,0,1,0,1,2
utilizar,1,0,0,1,2
tomar,0,1,0,1,2
razón,1,1,0,0,2
soler,1,1,0,0,2
intentar,0,1,0,1,2
repente,0,1,0,1,2
capaz,0,1,0,1,2
trabajar,1,0,0,1,2
demostrar,1,1,0,0,2
inmediatamente,0,1,0,1,2
mencionar,1,0,1,0,2
llamado,1,1,0,0,2
cambio,1,0,1,0,2
año,0,1,0,1,2
confundido,0,1,0,1,2
empezar,0,1,0,1,2
explicar,0,0,1,1,2
todavía,0,0,1,1,2
pobreza,0,1,1,0,2
mayoría,1,0,1,0,2
así,1,0,0,1,2
llegar,0,1,0,1,2
enseguida,0,1,0,1,2
puesto,0,0,1,1,2
aprender,1,1,0,0,2
sentir,1,1,0,0,2
único,1,1,0,0,2
actualmente,1,0,1,0,2
hallar,0,1,0,1,2
primero,0,0,1,1,2
algo,0,1,1,0,2
profundo,1,1,0,0,2
enfocar,1,0,1,0,2
e,1,1,0,0,2
familia,0,1,0,1,2
punto,0,1,1,0,2
público,1,0,1,0,2
dejar,1,1,0,0,2
enseñanza,1,0,1,0,2
verdad,1,1,0,0,2
vista,0,1,1,0,2
alrededor,0,1,1,0,2
secreto,0,1,0,1,2
entonces,0,1,0,1,2
mundo,1,1,0,0,2
causa,0,0,1,1,2
seguir,1,1,0,0,2
yo,0,1,1,0,2
fortuna,0,1,0,1,2
casa,0,1,0,1,2
existir,0,0,1,1,2
manera,0,1,1,0,2
varios,0,1,0,1,2
observar,0,1,0,1,2
aparecer,0,1,0,1,2
desde,0,1,0,1,2
continuación,0,0,1,1,2
