Lemma,AZC1_1,AZC1_2,AZC1_3,AZC1_4,Total
el,47,45,24,39,155
de,25,25,8,20,78
que,8,22,13,15,58
uno,11,9,3,19,42
y,7,18,7,4,36
ser,12,12,8,4,36
él,9,10,2,12,33
en,6,9,5,11,31
poder,4,5,4,5,18
a,4,10,0,4,18
para,8,8,1,1,18
por,1,6,4,7,18
no,7,4,5,0,16
todo,3,5,4,3,15
vida,7,4,2,0,13
pero,3,7,1,1,12
con,5,2,1,4,12
haber,2,4,1,3,10
este,1,3,3,3,10
hacer,2,6,1,0,9
estar,0,2,3,4,9
su,5,0,2,1,8
mundo,1,0,7,0,8
tener,2,3,1,2,8
ya,2,2,0,3,7
ese,1,2,2,2,7
trabajar,2,4,1,0,7
ni,2,1,2,1,6
o,3,1,1,1,6
tanto,1,3,1,1,6
como,1,2,2,1,6
oportunidad,3,1,2,0,6
después,5,0,0,1,6
también,3,2,1,0,6
mucho,2,1,1,1,5
sobre,2,2,1,0,5
querer,1,0,3,1,5
dar,1,1,2,1,5
cómo,0,1,2,2,5
algo,1,2,0,2,5
persona,1,1,1,1,4
alguno,2,1,1,0,4
sólo,0,3,1,0,4
vivir,0,2,2,0,4
necesitar,0,1,2,1,4
fuera,3,0,0,1,4
mejorar,2,1,1,0,4
trabajo,2,1,0,1,4
día,0,2,0,2,4
sin,0,1,3,0,4
parte,1,0,1,1,3
qué,0,2,0,1,3
cambiar,1,0,0,2,3
feliz,0,1,0,2,3
forma,2,0,1,0,3
nunca,0,1,1,1,3
posibilidad,2,0,1,0,3
importante,1,2,0,0,3
así,1,1,0,1,3
quizá,2,1,0,0,3
otro,0,2,1,0,3
cosa,0,2,1,0,3
mejor,1,1,1,0,3
hora,0,2,0,1,3
porque,1,0,1,1,3
lugar,0,1,2,0,3
exactamente,0,2,0,1,3
buen,2,0,1,0,3
ahora,1,1,0,1,3
malo,2,0,1,0,3
encontrar,1,2,0,0,3
gran,0,0,2,1,3
junto,0,1,1,0,2
repente,0,1,0,1,2
joven,1,0,0,1,2
si,1,0,0,1,2
proceso,1,0,1,0,2
llevar,0,1,1,0,2
deber,0,0,1,1,2
decir,0,0,1,1,2
real,0,1,0,1,2
más,0,0,1,1,2
volver,0,1,0,1,2
tras,1,1,0,0,2
empezar,0,1,0,1,2
siquiera,0,1,0,1,2
dolor,0,1,0,1,2
ojo,0,1,0,1,2
demasiado,1,0,0,1,2
actor,0,0,1,1,2
soler,1,1,0,0,2
entre,0,1,0,1,2
actual,1,1,0,0,2
diferente,0,1,1,0,2
aprender,1,1,0,0,2
idea,0,1,0,1,2
vez,1,1,0,0,2
tarea,0,1,1,0,2
duda,1,1,0,0,2
tal,0,1,0,1,2
hablar,1,0,1,0,2
nuestro,0,0,1,1,2
fácil,1,1,0,0,2
saber,0,1,1,0,2
alma,0,1,0,1,2
casi,0,1,0,1,2
familiar,1,1,0,0,2
