Lemma,ICE1_1,ICE1_2,ICE1_3,ICE1_4,Total
el,62,58,33,52,205
de,23,41,16,21,101
que,31,21,18,16,86
él,16,16,6,13,51
en,6,15,9,16,46
a,16,4,6,15,41
haber,5,8,14,11,38
ser,12,15,3,7,37
y,12,8,6,9,35
uno,7,9,6,9,31
poder,6,5,6,5,22
no,6,4,5,5,20
como,5,8,3,3,19
este,6,3,2,8,19
para,9,2,5,3,19
pero,3,3,5,3,14
estar,4,4,2,3,13
por,5,4,1,3,13
con,2,3,5,3,13
su,3,2,1,7,13
más,2,4,6,0,12
hacer,3,1,6,2,12
todo,2,4,0,4,10
otro,2,2,2,3,9
mucho,2,3,4,0,9
tener,2,1,5,0,8
persona,3,0,4,1,8
vida,4,0,1,1,6
mundo,0,1,5,0,6
hasta,2,4,0,0,6
deber,4,0,1,1,6
problema,3,2,1,0,6
causar,1,3,0,1,5
sociedad,4,1,0,0,5
saber,2,2,0,1,5
año,0,3,1,1,5
global,0,4,1,0,5
país,0,1,4,0,5
alguno,2,2,1,0,5
sistema,3,1,0,0,4
dinero,2,0,2,0,4
sobre,0,3,1,0,4
éxito,1,3,0,0,4
yo,2,1,1,0,4
algo,1,1,2,0,4
demostrar,2,2,0,0,4
sol,0,3,0,1,4
efecto,0,3,1,0,4
tanto,0,2,2,0,4
ahora,0,0,2,2,4
objetivo,2,2,0,0,4
posible,1,2,0,1,4
encontrar,0,0,1,2,3
aún,0,2,1,0,3
significar,2,0,1,0,3
o,2,0,1,0,3
desde,0,2,0,1,3
ver,0,0,2,1,3
evitar,1,1,0,1,3
quien,1,0,1,1,3
volver,2,0,0,1,3
contra,0,1,2,0,3
existir,0,2,1,0,3
nuestro,1,1,1,0,3
ayudar,2,1,0,0,3
sin,2,0,0,1,3
buen,0,2,1,0,3
debido,0,0,1,2,3
seguridad,1,0,0,2,3
producir,0,1,0,2,3
parecer,2,0,1,0,3
además,2,1,0,0,3
disfrutar,0,1,0,2,3
alcanzar,0,1,2,0,3
provocar,0,1,1,1,3
funcionar,2,1,0,0,3
también,1,0,1,1,3
mejorar,1,0,2,0,3
pequeño,1,1,0,1,3
internacional,0,1,1,0,2
importante,1,1,0,0,2
social,1,1,0,0,2
puesto,0,1,1,0,2
parcial,1,1,0,0,2
salvar,0,1,0,1,2
encontro,0,1,1,0,2
claro,1,0,1,0,2
cuando,0,1,0,1,2
aparecer,0,1,1,0,2
financiero,0,0,1,1,2
ya,1,0,0,1,2
parte,0,1,0,1,2
difícil,1,1,0,0,2
contribuir,1,1,0,0,2
completamente,0,1,1,0,2
fácil,0,1,1,0,2
concluir,1,0,1,0,2
solución,1,0,1,0,2
revelar,0,1,0,1,2
mayor,1,1,0,0,2
zona,0,1,0,1,2
afirmar,1,1,0,0,2
hoy,0,1,1,0,2
embargo,1,0,0,1,2
seguir,0,1,0,1,2
proporcionar,1,0,0,1,2
día,0,1,1,0,2
bien,1,0,1,0,2
población,0,0,1,1,2
comunidad,1,0,0,1,2
cuanto,0,0,1,1,2
solo,1,0,1,0,2
manera,1,0,1,0,2
positivo,0,1,1,0,2
después,1,0,0,1,2
poco,0,1,1,0,2
realmente,1,0,1,0,2
público,0,0,1,1,2
