Lemma,IDG1_1,IDG1_2,IDG1_3,IDG1_4,Total
el,76,67,40,52,235
de,31,18,13,23,85
ser,18,14,8,10,50
que,20,14,10,6,50
y,10,12,6,17,45
en,22,9,6,4,41
uno,8,19,6,7,40
a,6,15,5,10,36
no,11,9,5,2,27
más,7,3,10,1,21
por,2,6,0,10,18
para,4,8,4,1,17
su,1,7,3,6,17
él,6,4,3,3,16
haber,6,5,3,1,15
thor,0,12,0,1,13
tener,1,5,2,2,10
con,1,2,2,4,9
poder,3,1,1,4,9
estar,0,8,0,1,9
pero,3,2,1,2,8
creer,5,0,3,0,8
sin,1,3,2,2,8
todo,1,3,1,3,8
año,1,5,0,1,7
sistema,6,0,1,0,7
como,0,2,3,2,7
porque,4,0,2,0,6
mundo,0,1,4,1,6
mucho,2,1,0,3,6
vez,1,3,0,2,6
gente,2,0,1,3,6
primero,2,1,1,1,5
pobreza,1,0,4,0,5
humanos,3,0,1,1,5
donde,2,2,1,0,5
decir,3,0,1,1,5
este,0,0,2,3,5
utilizar,0,1,3,0,4
sobre,1,1,2,0,4
reducir,2,0,2,0,4
mientras,0,1,2,1,4
después,2,2,0,0,4
nuevo,0,3,0,1,4
día,1,2,0,1,4
económico,2,0,2,0,4
antes,1,2,0,1,4
deber,2,0,1,1,4
ver,0,3,0,1,4
o,3,0,1,0,4
volver,1,0,0,2,3
aumentar,0,2,1,0,3
dar,0,2,1,0,3
hacia,1,0,0,2,3
ni,1,1,1,0,3
cada,0,1,0,2,3
mostrar,2,0,1,0,3
repente,0,1,0,2,3
resultado,0,2,1,0,3
embargo,1,1,0,1,3
tres,0,2,0,1,3
menos,0,1,2,0,3
todavía,1,0,1,1,3
cuando,0,1,0,1,2
además,1,0,1,0,2
público,1,1,0,0,2
persona,0,0,1,1,2
atribuir,1,0,1,0,2
probable,0,1,1,0,2
objetivo,1,0,1,0,2
mantener,1,1,0,0,2
superar,1,0,0,1,2
perder,0,1,1,0,2
solamente,1,1,0,0,2
importancia,0,1,1,0,2
saber,0,1,0,1,2
llamado,0,1,0,1,2
ir,1,0,1,0,2
intentar,0,1,0,1,2
importante,1,0,1,0,2
número,1,1,0,0,2
humano,1,0,0,1,2
tierra,0,1,0,1,2
costar,1,0,0,1,2
ventaja,1,0,0,1,2
sino,0,1,1,0,2
aproximadamente,1,1,0,0,2
comenzar,0,1,0,1,2
seguir,1,1,0,0,2
hasta,0,1,1,0,2
último,0,1,0,1,2
cielo,0,1,0,1,2
contrario,1,0,0,1,2
dos,0,1,0,1,2
pensar,1,1,0,0,2
cinco,1,1,0,0,2
necesitar,1,1,0,0,2
otro,1,1,0,0,2
suficiente,1,1,0,0,2
problema,0,1,1,0,2
pasar,0,1,0,1,2
