Lemma,IHL1_1,IHL1_2,IHL1_3,IHL1_4,Total
el,62,52,28,51,193
de,31,29,20,25,105
que,27,26,20,29,102
él,15,12,4,20,51
a,17,16,6,9,48
uno,11,14,7,7,39
ser,15,10,6,8,39
y,9,9,5,9,32
en,13,7,7,5,32
no,13,5,4,6,28
para,9,6,3,5,23
yo,0,12,3,4,19
por,3,8,3,4,18
haber,0,4,5,8,17
como,5,5,4,2,16
tener,4,4,3,3,14
poder,5,3,3,2,13
con,2,6,4,0,12
estar,2,5,1,3,11
mucho,3,1,0,6,10
gente,3,2,2,2,9
su,3,3,1,2,9
ver,3,0,1,5,9
año,2,0,1,6,9
este,4,2,1,2,9
sin,2,4,1,1,8
cada,1,4,2,1,8
hacer,4,2,1,1,8
mi,1,5,0,2,8
seguir,2,3,1,1,7
oportunidad,4,1,2,0,7
forma,3,1,2,0,6
más,1,1,2,2,6
todo,1,3,2,0,6
día,0,4,1,1,6
alguno,1,2,2,1,6
sociedad,4,0,0,1,5
decir,1,1,2,1,5
parte,3,1,0,1,5
si,2,3,0,0,5
ese,1,2,2,0,5
vida,0,3,0,2,5
sino,3,1,1,0,5
llevar,0,2,0,3,5
creer,2,0,0,3,5
cielo,0,2,0,2,4
o,2,1,0,1,4
mostrar,2,1,0,1,4
quedar,0,1,0,3,4
durante,0,1,0,3,4
concluir,1,0,1,2,4
dar,1,3,0,0,4
bien,1,2,0,1,4
trabajo,0,2,2,0,4
primero,2,1,0,1,4
tanto,1,1,1,1,4
trabajar,1,0,0,2,3
paz,2,0,1,0,3
sábado,0,2,0,1,3
mismo,1,2,0,0,3
lugar,1,1,0,1,3
porque,0,1,1,1,3
vez,0,1,0,2,3
obstante,1,1,0,1,3
traer,0,1,2,0,3
quien,2,0,0,1,3
idea,1,1,0,1,3
posibilidad,1,0,0,2,3
otro,1,1,0,1,3
significar,0,2,1,0,3
poco,2,1,0,0,3
embargo,1,1,1,0,3
funcionar,2,1,0,0,3
mundo,1,0,2,0,3
deber,1,1,0,1,3
pobreza,1,0,2,0,3
aunque,1,1,1,0,3
mejor,1,1,0,1,3
verdad,1,1,0,0,2
lógico,1,0,0,1,2
vivir,1,0,1,0,2
pasar,1,1,0,0,2
cosa,0,1,0,1,2
importante,0,1,0,1,2
entrar,1,1,0,0,2
necesitar,0,1,1,0,2
cuenta,1,1,0,0,2
servicio,1,0,1,0,2
medida,1,0,1,0,2
después,0,0,1,1,2
claro,1,1,0,0,2
existencia,0,1,0,1,2
único,1,0,0,1,2
concepto,0,0,1,1,2
seguro,1,1,0,0,2
persona,1,0,1,0,2
mañana,0,1,0,1,2
ojo,0,1,0,1,2
cual,0,1,1,0,2
avanzar,0,1,0,1,2
nunca,0,0,1,1,2
comunidad,0,0,1,1,2
acontecimiento,0,1,1,0,2
medio,1,0,1,0,2
continuo,0,1,1,0,2
ahora,0,1,0,1,2
todavía,0,1,1,0,2
ir,1,0,0,1,2
nada,0,1,1,0,2
cabeza,0,1,1,0,2
luz,0,1,0,1,2
entre,0,1,0,1,2
acuerdo,0,1,1,0,2
menos,1,1,0,0,2
padre,1,0,0,1,2
parecer,1,1,0,0,2
