Lemma,RZA1_1,RZA1_2,RZA1_3,RZA1_4,Total
el,69,44,33,47,193
de,31,25,19,24,99
él,9,15,9,43,76
a,17,14,10,34,75
que,18,22,14,19,73
en,12,6,12,7,37
y,3,16,2,12,33
ser,11,7,3,10,31
por,5,15,3,8,31
uno,5,17,3,4,29
no,3,14,3,7,27
este,10,5,1,5,21
para,5,8,2,3,18
haber,3,8,3,2,16
yo,3,11,1,0,15
hacer,2,6,5,1,14
poder,2,2,7,0,11
ya,3,5,1,2,11
como,5,2,1,2,10
ir,2,6,0,2,10
con,3,1,1,5,10
su,2,0,0,7,9
mucho,1,4,1,3,9
pero,1,3,0,4,8
más,1,3,1,3,8
llegar,0,5,0,3,8
estar,1,4,1,1,7
incluso,3,2,0,2,7
ver,2,4,0,1,7
tener,0,5,1,1,7
poco,2,2,0,3,7
parte,3,0,2,1,6
encontrar,1,0,1,4,6
hermana,0,3,0,3,6
familia,0,1,0,5,6
otro,2,1,1,1,5
ni,0,2,3,0,5
población,3,0,2,0,5
todo,0,0,3,2,5
nuestro,1,3,1,0,5
empezar,0,3,0,2,5
mostrar,1,0,1,3,5
pedir,0,1,0,3,4
sufrir,3,0,1,0,4
entonces,2,1,0,1,4
decir,0,2,0,2,4
tiempo,0,1,0,3,4
vez,1,1,1,1,4
peligroso,2,2,0,0,4
si,3,0,1,0,4
último,0,1,0,3,4
intentar,0,1,1,2,4
sin,2,0,1,1,4
también,1,1,1,1,4
aunque,0,2,1,1,4
salir,3,1,0,0,4
embargo,2,0,1,1,4
día,0,3,1,0,4
pequeño,2,2,0,0,4
dejar,1,2,1,0,4
querer,0,2,0,1,3
caer,0,1,0,2,3
bien,0,1,1,1,3
cual,1,1,0,1,3
saber,1,0,0,2,3
primero,2,0,1,0,3
mano,0,0,1,2,3
mismo,0,2,1,0,3
seguir,1,1,0,1,3
acabar,1,2,0,0,3
dar,0,2,0,1,3
volver,1,2,0,0,3
culpa,0,0,1,2,3
poner,0,1,1,1,3
cuanto,0,1,0,2,3
regresar,0,1,0,2,3
idea,2,0,1,0,3
conseguir,1,1,0,0,2
fin,1,1,0,0,2
parar,0,1,0,1,2
físico,1,1,0,0,2
gustar,1,1,0,0,2
pronto,0,1,0,1,2
pensar,0,0,1,1,2
bello,0,1,0,1,2
aceptar,0,0,1,1,2
cambiar,1,0,0,1,2
sí,1,1,0,0,2
conocer,1,0,0,1,2
echar,0,0,1,1,2
quejar,0,1,1,0,2
decidir,0,1,0,1,2
tanto,0,1,0,1,2
pobreza,1,0,1,0,2
hasta,0,1,0,1,2
cuenta,1,0,0,1,2
tres,0,1,0,1,2
luego,1,1,0,0,2
centrar,1,0,1,0,2
dicho,1,0,1,0,2
gozar,0,1,1,0,2
buen,1,0,1,0,2
e,1,0,0,1,2
pasado,1,0,0,1,2
menos,1,0,1,0,2
pasar,1,1,0,0,2
sólo,0,0,1,1,2
hombre,0,1,0,1,2
momento,0,1,1,0,2
orgulloso,0,1,0,1,2
