Lemma,CJK1_1,CJK1_2,CJK1_3,CJK1_4,Total
el,71,69,50,63,253
de,41,29,29,36,135
que,15,9,21,33,78
ser,13,10,11,40,74
en,18,11,15,27,71
él,13,13,9,35,70
a,13,6,10,26,55
uno,5,10,15,25,55
y,6,10,14,11,41
no,2,4,5,22,33
por,6,11,4,10,31
para,9,7,3,10,29
poder,3,4,5,10,22
este,4,7,1,8,20
haber,3,6,7,4,20
su,6,4,3,7,20
como,4,5,3,4,16
hacer,2,2,2,7,13
mismo,4,1,0,7,12
con,2,2,3,5,12
mucho,3,3,2,3,11
tener,2,2,1,6,11
deber,4,4,1,2,11
o,2,0,1,8,11
todo,1,1,3,5,10
tanto,4,3,0,3,10
más,1,1,3,5,10
estar,2,2,2,3,9
cuando,2,1,0,6,9
otro,1,1,1,5,8
víctima,7,0,1,0,8
día,0,1,6,1,8
social,0,0,4,4,8
evitar,3,0,2,3,8
atención,0,1,2,4,7
vez,1,0,0,6,7
porque,1,1,0,5,7
si,0,0,2,4,6
lugar,2,2,0,2,6
gobierno,1,5,0,0,6
aunque,1,2,2,1,6
buen,0,1,1,4,6
mi,1,0,0,5,6
sin,2,1,1,2,6
yo,0,0,1,5,6
vida,0,1,0,5,6
sino,1,0,2,2,5
antes,1,0,0,4,5
desde,1,3,1,0,5
corea,2,2,0,1,5
principal,0,3,2,0,5
ver,0,1,0,4,5
mejor,2,0,0,3,5
sobre,0,2,1,2,5
importante,1,2,0,2,5
además,2,1,1,1,5
seguir,1,0,2,2,5
alguno,1,1,0,3,5
qué,0,1,0,4,5
resultado,0,3,1,0,4
durante,0,3,1,0,4
también,0,0,3,1,4
según,2,1,1,0,4
llevar,1,1,1,1,4
nunca,0,1,0,3,4
tratar,0,3,0,1,4
especialmente,1,0,1,2,4
convertir,1,0,0,3,4
malo,0,1,0,3,4
decir,0,0,1,3,4
cada,2,1,0,1,4
tras,1,1,1,1,4
nuevo,0,3,1,0,4
embargo,2,1,1,0,4
caso,2,0,0,1,3
dos,2,1,0,0,3
método,1,1,0,1,3
aprender,0,1,0,2,3
natural,0,2,0,1,3
volver,0,1,0,2,3
pero,0,1,0,2,3
recibir,1,0,1,1,3
manera,2,0,1,0,3
ya,1,2,0,0,3
algo,0,0,1,2,3
razón,2,1,0,0,3
famoso,0,1,0,2,3
tiempo,2,1,0,0,3
situación,1,0,2,0,3
anterior,0,2,0,1,3
humano,1,1,0,1,3
saber,0,1,0,2,3
verde,0,2,1,0,3
causar,0,1,2,0,3
nada,0,0,1,2,3
aumentar,1,0,0,1,2
causa,0,1,0,1,2
siguiente,1,0,1,0,2
ninguno,0,0,1,1,2
llamar,0,1,0,1,2
negativo,0,1,0,1,2
culpable,1,0,1,0,2
grave,0,1,1,0,2
numeroso,0,1,1,0,2
querer,0,1,0,1,2
destruir,0,1,0,1,2
cierto,1,1,0,0,2
significar,1,0,0,1,2
buscar,1,0,0,1,2
incidente,0,1,1,0,2
nuestro,0,1,1,0,2
provocar,0,1,1,0,2
mundo,1,0,0,1,2
principalmente,1,0,0,1,2
imposible,1,0,0,1,2
entonces,0,1,0,1,2
abusar,1,0,0,1,2
medida,1,0,0,1,2
punto,1,1,0,0,2
establecer,1,1,0,0,2
ahora,0,0,1,1,2
muerte,0,1,1,0,2
después,0,1,1,0,2
junto,0,1,0,1,2
debido,1,0,1,0,2
argumentar,1,0,1,0,2
fuera,1,0,0,1,2
wayne,0,0,1,1,2
formar,0,1,0,1,2
madre,0,1,0,1,2
hasta,0,1,1,0,2
recordar,0,0,1,1,2
primero,0,1,0,1,2
normalmente,0,1,0,1,2
forma,1,0,1,0,2
hoy,0,1,1,0,2
cultura,1,0,0,1,2
comportamiento,0,0,1,1,2
