Lemma,IDE1_1,IDE1_2,IDE1_3,IDE1_4,Total
el,82,85,55,50,272
de,41,43,26,28,138
que,37,38,18,24,117
él,23,19,6,26,74
ser,21,16,15,8,60
en,19,11,11,12,53
a,19,10,6,17,52
uno,13,10,7,13,43
haber,10,3,12,11,36
no,14,9,4,7,34
y,9,12,4,5,30
por,12,3,2,4,21
su,4,2,1,12,19
como,5,6,3,4,18
para,7,3,4,3,17
con,3,4,2,6,15
este,1,5,3,5,14
estar,0,4,2,8,14
hacer,2,4,2,5,13
poder,4,5,1,2,12
más,2,2,4,3,11
sistema,9,2,0,0,11
mundo,4,2,3,0,9
yo,1,5,2,1,9
sin,2,2,3,1,8
cual,1,6,0,1,8
tener,3,3,1,1,8
si,2,4,0,1,7
mismo,2,3,1,1,7
decir,3,2,2,0,7
ya,2,1,2,2,7
hora,5,0,0,1,6
nuestro,1,2,3,0,6
sí,2,2,2,0,6
todo,2,2,1,1,6
querer,3,1,0,1,5
proceso,1,2,2,0,5
dos,1,3,1,0,5
o,4,0,1,0,5
sino,3,1,1,0,5
tanto,0,2,2,1,5
aunque,1,1,1,2,5
mantener,0,1,1,2,4
quien,1,0,1,2,4
otro,2,1,0,1,4
económico,1,2,1,0,4
vez,2,1,1,0,4
cautiverio,2,0,0,2,4
e,0,1,2,1,4
crimen,2,0,0,2,4
seguir,2,0,1,1,4
bien,0,3,1,0,4
cambio,3,1,0,0,4
humanos,2,1,1,0,4
vida,1,2,1,0,4
qué,1,1,0,2,4
conocer,1,1,1,0,3
región,0,2,1,0,3
consecuencia,0,2,1,0,3
gracias,1,0,1,1,3
fuera,0,1,0,2,3
obstante,1,1,1,0,3
mucho,1,0,0,2,3
embargo,0,1,1,1,3
propiciar,1,1,1,0,3
pobreza,1,0,2,0,3
dar,1,2,0,0,3
posibilidad,1,2,0,0,3
atención,0,2,0,1,3
afortunado,1,1,1,0,3
volver,2,0,0,1,3
tal,0,2,1,0,3
propio,1,1,0,1,3
deber,1,0,1,1,3
pesar,1,1,1,0,3
aprovechar,1,0,2,0,3
idea,0,1,2,0,3
pedir,2,0,0,1,3
pero,1,0,1,1,3
incluso,0,2,1,0,3
entrar,1,2,0,0,3
cuando,0,1,0,2,3
acumulado,1,0,2,0,3
realidad,2,0,1,0,3
varios,1,0,1,1,3
nuevo,2,0,1,0,3
nada,0,1,1,1,3
razón,2,0,1,0,3
parte,1,1,0,0,2
asombroso,0,1,1,0,2
monumental,0,1,1,0,2
estilo,0,1,1,0,2
sociedad,1,0,1,0,2
ese,1,1,0,0,2
experimentar,1,0,1,0,2
plantear,1,0,1,0,2
después,1,1,0,0,2
intercambio,0,1,1,0,2
mundial,0,1,1,0,2
contra,0,1,1,0,2
perjudicial,0,1,1,0,2
mano,0,0,1,1,2
general,0,0,1,1,2
resultado,0,1,1,0,2
administración,0,1,1,0,2
semana,0,1,0,1,2
criminal,1,0,0,1,2
depender,0,1,1,0,2
durante,0,0,1,1,2
país,1,0,1,0,2
tasa,1,0,1,0,2
cantidad,0,1,1,0,2
desde,0,0,1,1,2
ninguno,1,0,0,1,2
proveniente,0,1,1,0,2
encontrar,1,1,0,0,2
gobierno,1,1,0,0,2
asimismo,0,1,1,0,2
cada,0,0,1,1,2
lugar,0,1,1,0,2
gran,0,0,1,1,2
convertir,0,1,1,0,2
político,1,0,1,0,2
siglo,0,1,1,0,2
precedente,0,1,1,0,2
puesto,0,1,0,1,2
observado,0,1,1,0,2
posible,1,0,0,1,2
servicio,0,1,1,0,2
largo,0,1,1,0,2
verdadero,1,1,0,0,2
lejos,1,0,0,1,2
provocar,0,1,1,0,2
vibrante,0,1,1,0,2
medida,1,1,0,0,2
también,0,1,1,0,2
libre,1,0,1,0,2
lacra,1,0,1,0,2
social,0,1,0,1,2
entorno,1,0,1,0,2
ejemplo,1,0,1,0,2
formar,1,0,0,1,2
fin,1,0,0,1,2
referir,0,1,0,1,2
mejor,0,0,1,1,2
actuar,1,1,0,0,2
