Lemma,JTM1_1,JTM1_2,JTM1_3,JTM1_4,Total
el,40,43,26,59,168
de,31,20,15,29,95
que,21,17,9,10,57
en,9,16,9,11,45
a,15,12,7,11,45
él,12,15,5,8,40
y,14,5,5,12,36
ser,11,11,4,5,31
yo,2,21,0,3,26
uno,10,5,3,7,25
haber,2,8,3,7,20
por,4,10,1,2,17
estar,2,6,3,6,17
decir,2,11,2,0,15
para,6,5,1,2,14
tener,4,3,3,1,11
poder,4,3,3,1,11
con,4,3,2,2,11
este,1,2,4,3,10
no,1,6,1,2,10
vida,6,0,1,2,9
deber,6,0,3,0,9
su,4,1,1,3,9
persona,6,0,1,2,9
más,1,4,2,1,8
cada,4,3,0,1,8
hacer,0,7,0,1,8
vez,2,3,0,2,7
como,3,2,1,1,7
pero,1,5,0,1,7
año,0,4,0,3,7
mucho,1,6,0,0,7
además,2,2,1,1,6
japón,1,5,0,0,6
ese,3,1,1,1,6
ahora,0,4,1,1,6
ya,0,3,0,2,5
vivir,2,0,2,1,5
también,0,2,2,1,5
dos,0,2,1,2,5
sistema,4,0,1,0,5
primero,1,1,1,2,5
todo,1,2,1,1,5
ofrecer,3,1,1,0,5
sin,1,1,0,2,4
país,0,1,2,1,4
mi,0,3,1,0,4
problema,2,1,1,0,4
quedar,1,3,0,0,4
aunque,0,1,1,2,4
causa,0,2,1,1,4
tiempo,3,1,0,0,4
creer,2,1,0,0,3
antes,0,1,0,2,3
sobre,1,0,1,1,3
seguir,0,2,1,0,3
segundo,1,0,1,1,3
parecer,1,1,0,1,3
desde,0,1,1,1,3
según,1,0,1,1,3
cuanto,0,1,1,1,3
tres,0,1,0,2,3
entre,1,0,0,2,3
embargo,1,1,0,1,3
cierto,0,2,1,0,3
numeroso,1,1,1,0,3
lugar,1,0,0,2,3
entrar,0,1,0,1,2
llamar,0,1,0,1,2
o,1,1,0,0,2
hoy,0,1,1,0,2
pensar,1,0,1,0,2
suficiente,1,0,1,0,2
alto,1,1,0,0,2
acuerdo,1,0,1,0,2
trabajo,0,1,1,0,2
poco,1,1,0,0,2
porque,1,1,0,0,2
otro,0,1,0,1,2
gran,1,0,1,0,2
pesar,1,1,0,0,2
llevar,1,0,0,1,2
debido,0,0,1,1,2
mes,0,1,0,1,2
gente,0,1,1,0,2
principal,1,0,0,1,2
mañana,0,1,0,1,2
trabajar,1,0,0,1,2
gestión,1,0,0,1,2
mientras,0,1,0,1,2
llegar,0,1,0,1,2
número,1,0,0,1,2
ejemplo,1,1,0,0,2
todavía,0,1,1,0,2
comer,1,0,0,1,2
hora,1,1,0,0,2
recibir,1,0,0,1,2
importante,1,0,1,0,2
